Loyer au m2,KEY,Prix,Département,ville,Code Postal,Adresse,Type,Nombre de pièces,Surface,Latitude,Longitude,Prix au m2,Mensualité,Coût total des intérêts,Frais de notaire,Loyer mensuel,Taux de rendement
31,75-101,490000,75,PARIS 01,75001,21 RUE MOLIERE,Appartement,2,38,48.8655477091126,2.33600422712656,12895,2586,285920.16,39200.0,1191,1.75
31,75-101,245000,75,PARIS 01,75001,4 RUE SAINT-ROCH,Appartement,2,26,48.864254775104,2.33173051769277,9423,1293,142960.08,19600.0,815,2.4
31,75-101,410025,75,PARIS 01,75001,45 RUE DE RICHELIEU,Appartement,2,50,48.8663344817233,2.33665299431548,8200,2164,239253.9,32802.0,1567,2.76
31,75-101,930000,75,PARIS 01,75001,77 RUE RAMBUTEAU,Appartement,2,80,48.8619696676323,2.34963126945427,11625,4909,542664.78,74400.0,2508,1.94
31,75-101,547000,75,PARIS 01,75001,12 RUE JEAN JACQUES ROUSSEAU,Appartement,2,38,48.8623673973384,2.34041710963013,14395,2887,319180.25,43760.0,1191,1.57
31,75-101,575000,75,PARIS 01,75001,17 RUE SAINT-ROCH,Appartement,3,57,48.8652980862861,2.33204333574276,10088,3035,335518.55,46000.0,1787,2.24
31,75-101,630000,75,PARIS 01,75001,312 RUE SAINT-HONORE,Appartement,2,39,48.8652914729113,2.33149686088512,16154,3325,367611.63,50400.0,1222,1.4
31,75-101,180000,75,PARIS 01,75001,9 RUE DES INNOCENTS,Appartement,2,16,48.8603806506812,2.34742162047419,11250,950,105031.89,14400.0,502,2.01
31,75-101,650000,75,PARIS 01,75001,400 RUE SAINT-HONORE,Appartement,2,55,48.8680152495233,2.32505611071383,11818,3431,379281.84,52000.0,1724,1.91
31,75-101,822300,75,PARIS 01,75001,9 RUE DU PELICAN,Appartement,4,56,48.8625765412615,2.33964333530158,14684,4340,479820.7,65784.0,1755,1.54
31,75-101,535885,75,PARIS 01,75001,23 RUE DE RICHELIEU,Appartement,2,43,48.8648061950029,2.33602409337384,12462,2829,312694.54,42870.8,1348,1.81
31,75-101,623000,75,PARIS 01,75001,7 RUE DES PETITS CHAMPS,Appartement,2,39,48.8661868521033,2.3387898284057,15974,3288,363527.05,49840.0,1222,1.42
31,75-101,650000,75,PARIS 01,75001,34 RUE DES BOURDONNAIS,Appartement,2,64,48.8601440271277,2.34556191275466,10156,3431,379281.84,52000.0,2006,2.23
31,75-101,661000,75,PARIS 01,75001,1 RUE DES PYRAMIDES,Appartement,3,43,48.8642759623211,2.33213361674209,15372,3489,385700.45,52880.0,1348,1.47
31,75-101,570000,75,PARIS 01,75001,31 RUE DU PONT NEUF,Appartement,2,55,48.8612685384972,2.34470168538486,10364,3009,332601.0,45600.0,1724,2.18
31,75-101,657770,75,PARIS 01,75001,12 RUE DE LA COSSONNERIE,Appartement,3,60,48.8617356032578,2.34848334957971,10963,3472,383815.72,52621.6,1881,2.06
31,75-101,658970,75,PARIS 01,75001,51 RUE SAINT-DENIS,Appartement,2,52,48.8611828558268,2.34840233711861,12672,3478,384515.93,52717.6,1630,1.78
31,75-101,982000,75,PARIS 01,75001,5 RUE D ALGER,Appartement,3,65,48.8652514673088,2.32952147814148,15108,5183,573007.33,78560.0,2037,1.5
31,75-101,900000,75,PARIS 01,75001,2 RUE DES HALLES,Appartement,5,84,48.859119268056,2.34752148775634,10714,4751,525159.47,72000.0,2633,2.11
31,75-101,470000,75,PARIS 01,75001,89 RUE SAINT-HONORE,Appartement,2,40,48.8610014118214,2.34340777054158,11750,2481,274249.94,37600.0,1254,1.92
31,75-101,700000,75,PARIS 01,75001,267 RUE SAINT-HONORE,Appartement,4,80,48.8673892998523,2.32471701485895,8750,3695,408457.36,56000.0,2508,2.58
31,75-101,733333,75,PARIS 01,75001,3 RUE DU ROULE,Appartement,3,54,48.8603777496017,2.34336566435178,13580,3871,427907.52,58666.64,1693,1.66
31,75-101,655340,75,PARIS 01,75001,20 RUE DES BONS ENFANTS,Appartement,3,51,48.8634502510428,2.33883112591044,12850,3459,382397.78,52427.200000000004,1599,1.76
31,75-101,420000,75,PARIS 01,75001,117 RUE SAINT-HONORE,Appartement,2,46,48.8614399551707,2.34180070954616,9130,2217,245074.42,33600.0,1442,2.48
31,75-101,787500,75,PARIS 01,75001,30 RUE SAINT-DENIS,Appartement,2,57,48.8599562244316,2.34842147644263,13816,4157,459514.54,63000.0,1787,1.64
31,75-101,796000,75,PARIS 01,75001,34 RUE SAINTE-ANNE,Appartement,3,52,48.8666768659664,2.33593441571491,15308,4202,464474.37,63680.0,1630,1.48
31,75-101,547200,75,PARIS 01,75001,10 RUE THERESE,Appartement,3,46,48.8662667731306,2.33570162654604,11896,2888,319296.96,43776.0,1442,1.9
31,75-101,365000,75,PARIS 01,75001,43 BD DE SEBASTOPOL,Appartement,2,32,48.8615176279274,2.34948552907971,11406,1927,212981.34,29200.0,1003,1.98
31,75-101,228880,75,PARIS 01,75001,4 RUE SAINT-ROCH,Appartement,2,33,48.864254775104,2.33173051769277,6936,1208,133553.89,18310.4,1034,3.26
31,75-101,745680,75,PARIS 01,75001,14 RUE JEAN JACQUES ROUSSEAU,Appartement,3,91,48.8623059444831,2.34073311725479,8194,3936,435112.13,59654.4,2852,2.76
31,75-101,910000,75,PARIS 01,75001,10 RUE SAINTE-ANNE,Appartement,2,78,48.8656519534207,2.33548610880301,11667,4803,530994.57,72800.0,2445,1.94
31,75-101,340000,75,PARIS 01,75001,21 RUE MONTORGUEIL,Appartement,2,29,48.8640437811788,2.34629973115303,11724,1795,198393.58,27200.0,909,1.93
31,75-101,618000,75,PARIS 01,75001,20 RUE DES BONS ENFANTS,Appartement,3,50,48.8634502510428,2.33883112591044,12360,3262,360609.5,49440.0,1567,1.83
31,75-101,735000,75,PARIS 01,75001,34 RUE CROIX DES PETITS CHAMPS,Appartement,2,45,48.8642082455798,2.34031721606119,16333,3880,428880.23,58800.0,1410,1.38
31,75-101,580000,75,PARIS 01,75001,4 RUE BAILLEUL,Appartement,2,41,48.8609896487242,2.34215944457332,14146,3061,338436.1,46400.0,1285,1.6
31,75-101,359140,75,PARIS 01,75001,29 RUE DE RICHELIEU,Appartement,3,39,48.86503586016,2.33634720567772,9209,1896,209561.97,28731.2,1222,2.46
31,75-101,757746,75,PARIS 01,75001,1 RUE COQ HERON,Appartement,2,44,48.8642099199361,2.34185157438686,17221,4000,442152.53,60619.648,1379,1.31
31,75-101,550000,75,PARIS 01,75001,180 RUE DE RIVOLI,Appartement,2,50,48.8632185929651,2.33441955272752,11000,2903,320930.79,44000.0,1567,2.06
31,75-101,418270,75,PARIS 01,75001,117 RUE SAINT-HONORE,Appartement,2,35,48.8614399551707,2.34180070954616,11951,2208,244064.95,33461.6,1097,1.89
31,75-101,530000,75,PARIS 01,75001,136 RUE SAINT-HONORE,Appartement,2,37,48.8619936469789,2.34079860406311,14324,2798,309260.58,42400.0,1160,1.58
31,75-101,683000,75,PARIS 01,75001,16 PL DAUPHINE,Appartement,2,36,48.8568297451206,2.34254561445223,18972,3605,398537.69,54640.0,1128,1.19
31,75-101,225000,75,PARIS 01,75001,186 RUE DE RIVOLI,Appartement,2,28,48.8635647925356,2.33335618456741,8036,1188,131289.87,18000.0,878,2.81
31,75-101,549550,75,PARIS 01,75001,217 RUE SAINT-HONORE,Appartement,2,28,48.8653185001806,2.33041429007133,19627,2901,320668.21,43964.0,878,1.15
31,75-101,911500,75,PARIS 01,75001,17 RUE DU CYGNE,Appartement,2,65,48.8633183297996,2.34834710403657,14023,4811,531869.84,72920.0,2037,1.61
31,75-101,640000,75,PARIS 01,75001,15 RUE DU LOUVRE,Appartement,3,52,48.8635592887927,2.34148014098889,12308,3378,373446.73,51200.0,1630,1.84
31,75-101,825000,75,PARIS 01,75001,19 RUE MONTORGUEIL,Appartement,4,70,48.8639534369227,2.3462958391282,11786,4355,481396.18,66000.0,2194,1.92
